Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Info (Type and Size in GB),Storage Type,Platform Storage Drive Quantity,Platform GPU Quantity,Platform GPU Name,Instance Number of GPU,Instance GPU memory (in GB),PkgWatt @ Idle,PkgWatt @ 10%,PkgWatt @ 50%,PkgWatt @ 100%,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,GPUWatt @ Idle,GPUWatt @ 10%,GPUWatt @ 50%,GPUWatt @ 100%,Delta Full Machine,Instance @ Idle,Instance @ 10%,Instance @ 50%,Instance @ 100%,Platform Additional Memory Scope 3 Emissions,Platform Additional Storage Scope 3 Emissions,Platform Additional GPU Scope 3 Emissions,Platform Additional CPU Scope 3 Emissions,Total Platform Scope 3 Emissions  (kgCO?eq),Instance Hourly Manufacturing Emissions (gCO?eq),Hardware Information on AWS Documentation & Comments
c5ad.large,August 2020,2,96,EPYC 7R32,4,192,1 x 75 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.80,1.20,1.60,2.40,0.0,0.0,0.0,0.0,1.2,#NAME?,#NAME?,#NAME?,#NAME?,244.1,200.0,0.0,0.0,1444.1,0.9,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
c5ad.xlarge,August 2020,4,96,EPYC 7R32,8,192,1 x 150 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,1.60,2.40,3.20,4.80,0.0,0.0,0.0,0.0,2.3,#NAME?,#NAME?,#NAME?,#NAME?,244.1,200.0,0.0,0.0,1444.1,1.7,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
c5ad.2xlarge,August 2020,8,96,EPYC 7R32,16,192,1 x 300 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,3.20,4.80,6.40,9.60,0.0,0.0,0.0,0.0,4.7,#NAME?,#NAME?,#NAME?,#NAME?,244.1,200.0,0.0,0.0,1444.1,3.5,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
c5ad.4xlarge,August 2020,16,96,EPYC 7R32,32,192,2 x 300 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,6.40,9.60,12.80,19.20,0.0,0.0,0.0,0.0,9.3,#NAME?,#NAME?,#NAME?,#NAME?,244.1,200.0,0.0,0.0,1444.1,7.0,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
c5ad.8xlarge,August 2020,32,96,EPYC 7R32,64,192,2 x 600 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,12.80,19.20,25.60,38.40,0.0,0.0,0.0,0.0,18.7,#NAME?,#NAME?,#NAME?,#NAME?,244.1,200.0,0.0,0.0,1444.1,13.9,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
c5ad.12xlarge,August 2020,48,96,EPYC 7R32,96,192,2 x 900 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,19.20,28.80,38.40,57.60,0.0,0.0,0.0,0.0,28.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,200.0,0.0,0.0,1444.1,20.9,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
c5ad.16xlarge,August 2020,64,96,EPYC 7R32,128,192,2 x 1200 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,25.60,38.40,51.20,76.80,0.0,0.0,0.0,0.0,37.3,#NAME?,#NAME?,#NAME?,#NAME?,244.1,200.0,0.0,0.0,1444.1,27.9,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
c5ad.24xlarge,August 2020,96,96,EPYC 7R32,192,192,2 x 1900 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,38.40,57.60,76.80,115.20,0.0,0.0,0.0,0.0,56.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,200.0,0.0,0.0,1444.1,41.8,Up to 3.3 GHz 2nd generation AMD EPYC 7002 Series Processor
c5d.large,May 2018,2,72,Xeon Platinum 8124M,4,192,1 x 50 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,2.7,#NAME?,#NAME?,#NAME?,#NAME?,244.1,200.0,0.0,100.0,1544.1,1.2,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake) or 1st generation Intel Xeon Platinum 8000 series (Skylake-SP)
c5d.xlarge,May 2018,4,72,Xeon Platinum 8124M,8,192,1 x 100 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,5.3,#NAME?,#NAME?,#NAME?,#NAME?,244.1,200.0,0.0,100.0,1544.1,2.5,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake) or 1st generation Intel Xeon Platinum 8000 series (Skylake-SP)
c5d.2xlarge,May 2018,8,72,Xeon Platinum 8124M,16,192,1 x 200 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,10.7,#NAME?,#NAME?,#NAME?,#NAME?,244.1,200.0,0.0,100.0,1544.1,5.0,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake) or 1st generation Intel Xeon Platinum 8000 series (Skylake-SP)
c5d.4xlarge,May 2018,16,72,Xeon Platinum 8124M,32,192,1 x 400 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,21.3,#NAME?,#NAME?,#NAME?,#NAME?,244.1,200.0,0.0,100.0,1544.1,9.9,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake) or 1st generation Intel Xeon Platinum 8000 series (Skylake-SP)
c5d.9xlarge,May 2018,36,72,Xeon Platinum 8124M,72,192,1 x 900 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,48.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,200.0,0.0,100.0,1544.1,22.3,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake) or 1st generation Intel Xeon Platinum 8000 series (Skylake-SP)
c5d.12xlarge,November 2019,48,96,Xeon Platinum 8275CL,96,192,2 x 900 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,48.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,400.0,0.0,100.0,1744.1,25.2,Up to 3.9 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake)
c5d.18xlarge,May 2018,72,72,Xeon Platinum 8124M,144,192,2 x 900 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,96.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,200.0,0.0,100.0,1544.1,44.7,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake) or 1st generation Intel Xeon Platinum 8000 series (Skylake-SP)
c5d.24xlarge,November 2019,96,96,Xeon Platinum 8275CL,192,192,4 x 900 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,96.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,400.0,0.0,100.0,1744.1,50.5,Up to 3.9 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake)
c5d.metal,November 2019,96,96,Xeon Platinum 8275CL,192,192,4 x 900 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,96.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,400.0,0.0,100.0,1744.1,50.5,Up to 3.9 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake)
c5n.large,November 2018,2,72,Xeon Platinum 8124M,5.25,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,2.7,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,1.1,3.0 GHz Intel Xeon Platinum Processor
c5n.xlarge,November 2018,4,72,Xeon Platinum 8124M,10.5,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,5.3,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,2.2,3.0 GHz Intel Xeon Platinum Processor
c5n.2xlarge,November 2018,8,72,Xeon Platinum 8124M,21,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,10.7,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,4.3,3.0 GHz Intel Xeon Platinum Processor
c5n.4xlarge,November 2018,16,72,Xeon Platinum 8124M,42,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,21.3,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,8.6,3.0 GHz Intel Xeon Platinum Processor
c5n.9xlarge,November 2018,36,72,Xeon Platinum 8124M,96,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,48.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,19.4,3.0 GHz Intel Xeon Platinum Processor
c5n.18xlarge,November 2018,72,72,Xeon Platinum 8124M,192,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,96.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,38.9,3.0 GHz Intel Xeon Platinum Processor
c5n.metal,August 2019,72,72,Xeon Platinum 8124M,192,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,96.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,0.0,0.0,100.0,1344.1,38.9,3.0 GHz Intel Xeon Platinum Processor
c6g.medium,December 2019,1,64,Graviton2,2,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.40,0.60,0.80,1.20,0.0,0.0,0.0,0.0,0.5,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,0.5,AWS Graviton2 (ARM)
c6g.large,December 2019,2,64,Graviton2,4,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.80,1.20,1.60,2.40,0.0,0.0,0.0,0.0,0.9,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,1.0,AWS Graviton2 (ARM)
c6g.xlarge,December 2019,4,64,Graviton2,8,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,1.60,2.40,3.20,4.80,0.0,0.0,0.0,0.0,1.9,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,2.1,AWS Graviton2 (ARM)
c6g.2xlarge,December 2019,8,64,Graviton2,16,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,3.20,4.80,6.40,9.60,0.0,0.0,0.0,0.0,3.8,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,4.2,AWS Graviton2 (ARM)
c6g.4xlarge,December 2019,16,64,Graviton2,32,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,6.40,9.60,12.80,19.20,0.0,0.0,0.0,0.0,7.5,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,8.4,AWS Graviton2 (ARM)
c6g.8xlarge,December 2019,32,64,Graviton2,64,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,12.80,19.20,25.60,38.40,0.0,0.0,0.0,0.0,15.0,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,16.7,AWS Graviton2 (ARM)
c6g.12xlarge,December 2019,48,64,Graviton2,96,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,19.20,28.80,38.40,57.60,0.0,0.0,0.0,0.0,22.5,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,25.1,AWS Graviton2 (ARM)
c6g.16xlarge,December 2019,64,64,Graviton2,128,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,25.60,38.40,51.20,76.80,0.0,0.0,0.0,0.0,30.0,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,33.4,AWS Graviton2 (ARM)
c6g.metal,December 2019,64,64,Graviton2,128,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,25.60,38.40,51.20,76.80,0.0,0.0,0.0,0.0,30.0,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,33.4,AWS Graviton2 (ARM)
c6gd.medium,December 2019,1,64,Graviton2,2,128,1 x 59 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.40,0.60,0.80,1.20,0.0,0.0,0.0,0.0,0.5,#NAME?,#NAME?,#NAME?,#NAME?,155.3,200.0,0.0,0.0,1355.3,0.6,AWS Graviton2 (ARM)
c6gd.large,December 2019,2,64,Graviton2,4,128,1 x 118 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.80,1.20,1.60,2.40,0.0,0.0,0.0,0.0,0.9,#NAME?,#NAME?,#NAME?,#NAME?,155.3,200.0,0.0,0.0,1355.3,1.2,AWS Graviton2 (ARM)
c6gd.xlarge,December 2019,4,64,Graviton2,8,128,1 x 237 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,1.60,2.40,3.20,4.80,0.0,0.0,0.0,0.0,1.9,#NAME?,#NAME?,#NAME?,#NAME?,155.3,200.0,0.0,0.0,1355.3,2.5,AWS Graviton2 (ARM)
c6gd.2xlarge,December 2019,8,64,Graviton2,16,128,1 x 474 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,3.20,4.80,6.40,9.60,0.0,0.0,0.0,0.0,3.8,#NAME?,#NAME?,#NAME?,#NAME?,155.3,200.0,0.0,0.0,1355.3,4.9,AWS Graviton2 (ARM)
c6gd.4xlarge,December 2019,16,64,Graviton2,32,128,1 x 950 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,6.40,9.60,12.80,19.20,0.0,0.0,0.0,0.0,7.5,#NAME?,#NAME?,#NAME?,#NAME?,155.3,200.0,0.0,0.0,1355.3,9.8,AWS Graviton2 (ARM)
c6gd.8xlarge,December 2019,32,64,Graviton2,64,128,1 x 1900 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,12.80,19.20,25.60,38.40,0.0,0.0,0.0,0.0,15.0,#NAME?,#NAME?,#NAME?,#NAME?,155.3,200.0,0.0,0.0,1355.3,19.6,AWS Graviton2 (ARM)
c6gd.12xlarge,December 2019,48,64,Graviton2,96,128,2 x 1425 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,19.20,28.80,38.40,57.60,0.0,0.0,0.0,0.0,22.5,#NAME?,#NAME?,#NAME?,#NAME?,155.3,200.0,0.0,0.0,1355.3,29.4,AWS Graviton2 (ARM)
c6gd.16xlarge,December 2019,64,64,Graviton2,128,128,2 x 1900 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,25.60,38.40,51.20,76.80,0.0,0.0,0.0,0.0,30.0,#NAME?,#NAME?,#NAME?,#NAME?,155.3,200.0,0.0,0.0,1355.3,39.2,AWS Graviton2 (ARM)
c6gd.metal,December 2019,64,64,Graviton2,128,128,2 x 1900 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,25.60,38.40,51.20,76.80,0.0,0.0,0.0,0.0,30.0,#NAME?,#NAME?,#NAME?,#NAME?,155.3,200.0,0.0,0.0,1355.3,39.2,AWS Graviton2 (ARM)
c6gn.medium,December 2019,1,64,Graviton2,2,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.40,0.60,0.80,1.20,0.0,0.0,0.0,0.0,0.5,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,0.5,AWS Graviton2 (ARM)
c6gn.large,December 2019,2,64,Graviton2,4,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.80,1.20,1.60,2.40,0.0,0.0,0.0,0.0,0.9,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,1.0,AWS Graviton2 (ARM)
c6gn.xlarge,December 2019,4,64,Graviton2,8,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,1.60,2.40,3.20,4.80,0.0,0.0,0.0,0.0,1.9,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,2.1,AWS Graviton2 (ARM)
c6gn.2xlarge,December 2019,8,64,Graviton2,16,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,3.20,4.80,6.40,9.60,0.0,0.0,0.0,0.0,3.8,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,4.2,AWS Graviton2 (ARM)
c6gn.4xlarge,December 2019,16,64,Graviton2,32,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,6.40,9.60,12.80,19.20,0.0,0.0,0.0,0.0,7.5,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,8.4,AWS Graviton2 (ARM)
c6gn.8xlarge,December 2019,32,64,Graviton2,64,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,12.80,19.20,25.60,38.40,0.0,0.0,0.0,0.0,15.0,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,16.7,AWS Graviton2 (ARM)
c6gn.12xlarge,December 2019,48,64,Graviton2,96,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,19.20,28.80,38.40,57.60,0.0,0.0,0.0,0.0,22.5,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,25.1,AWS Graviton2 (ARM)
c6gn.16xlarge,December 2019,64,64,Graviton2,128,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,25.60,38.40,51.20,76.80,0.0,0.0,0.0,0.0,30.0,#NAME?,#NAME?,#NAME?,#NAME?,155.3,0.0,0.0,0.0,1155.3,33.4,AWS Graviton2 (ARM)
d2.xlarge,March 2015,4,48,Xeon E5-2676 v3,30.5,244,3 x 2000 HDD,HDD,24,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,6.10,9.15,12.20,18.30,0.0,0.0,0.0,0.0,4.0,#NAME?,#NAME?,#NAME?,#NAME?,316.2,1200.0,0.0,100.0,2616.2,6.3,2.4 GHz Intel Xeon E5-2676 v3 Processor (Haswell)
d2.2xlarge,March 2015,8,48,Xeon E5-2676 v3,61,244,6 x 2000 HDD,HDD,24,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,12.20,18.30,24.40,36.60,0.0,0.0,0.0,0.0,8.0,#NAME?,#NAME?,#NAME?,#NAME?,316.2,1200.0,0.0,100.0,2616.2,12.6,2.4 GHz Intel Xeon E5-2676 v3 Processor (Haswell)
d2.4xlarge,March 2015,16,48,Xeon E5-2676 v3,122,244,12 x 2000 HDD,HDD,24,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,24.40,36.60,48.80,73.20,0.0,0.0,0.0,0.0,16.0,#NAME?,#NAME?,#NAME?,#NAME?,316.2,1200.0,0.0,100.0,2616.2,25.2,2.4 GHz Intel Xeon E5-2676 v3 Processor (Haswell)
d2.8xlarge,March 2015,36,48,Xeon E5-2676 v3,244,244,24 x 2000 HDD,HDD,24,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,48.80,73.20,97.60,146.40,0.0,0.0,0.0,0.0,36.0,#NAME?,#NAME?,#NAME?,#NAME?,316.2,1200.0,0.0,100.0,2616.2,56.8,2.4 GHz Intel Xeon E5-2676 v3 Processor (Haswell)
d3.xlarge,December 2020,4,96,Xeon Platinum 8259CL,32,256,3 x 2 HDD,HDD,24,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,3.5,#NAME?,#NAME?,#NAME?,#NAME?,332.9,1200.0,0.0,100.0,2632.9,3.2,
d3.2xlarge,December 2020,8,96,Xeon Platinum 8259CL,64,256,6 x 2 HDD,HDD,24,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,7.0,#NAME?,#NAME?,#NAME?,#NAME?,332.9,1200.0,0.0,100.0,2632.9,6.3,
d3.4xlarge,December 2020,16,96,Xeon Platinum 8259CL,128,256,12 x 2 HDD,HDD,24,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,14.0,#NAME?,#NAME?,#NAME?,#NAME?,332.9,1200.0,0.0,100.0,2632.9,12.7,
d3.8xlarge,December 2020,32,96,Xeon Platinum 8259CL,256,256,24 x 2 HDD,HDD,24,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,28.0,#NAME?,#NAME?,#NAME?,#NAME?,332.9,1200.0,0.0,100.0,2632.9,25.4,
d3en.xlarge,December 2020,4,96,Xeon Platinum 8259CL,16,192,2 x 14 HDD,HDD,24,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,3.5,#NAME?,#NAME?,#NAME?,#NAME?,244.1,1200.0,0.0,100.0,2544.1,3.1,
d3en.2xlarge,December 2020,8,96,Xeon Platinum 8259CL,32,192,4 x 14 HDD,HDD,24,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,7.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,1200.0,0.0,100.0,2544.1,6.1,
d3en.4xlarge,December 2020,16,96,Xeon Platinum 8259CL,64,192,8 x 14 HDD,HDD,24,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,14.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,1200.0,0.0,100.0,2544.1,12.3,
d3en.6xlarge,December 2020,24,96,Xeon Platinum 8259CL,96,192,12 x 14 HDD,HDD,24,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,21.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,1200.0,0.0,100.0,2544.1,18.4,
d3en.8xlarge,December 2020,32,96,Xeon Platinum 8259CL,128,192,16 x 14 HDD,HDD,24,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,28.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,1200.0,0.0,100.0,2544.1,24.5,
d3en.12xlarge,December 2020,48,96,Xeon Platinum 8259CL,192,192,24 x 14 HDD,HDD,24,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,0.0,0.0,0.0,0.0,42.0,#NAME?,#NAME?,#NAME?,#NAME?,244.1,1200.0,0.0,100.0,2544.1,36.8,
dc2.large,October 2017,2,40,Xeon E5-2670 v2,15,244,160 SSD,SSD,4,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,3.00,4.50,6.00,9.00,0.0,0.0,0.0,0.0,2.3,#NAME?,#NAME?,#NAME?,#NAME?,316.2,400.0,0.0,100.0,1816.2,2.6,N/A
dc2.8xlarge,October 2017,32,40,Xeon E5-2670 v2,244,244,2560 SSD,SSD,4,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,48.80,73.20,97.60,146.40,0.0,0.0,0.0,0.0,36.8,#NAME?,#NAME?,#NAME?,#NAME?,316.2,400.0,0.0,100.0,1816.2,42.0,N/A
ds2.xlarge,June 2015,4,48,Xeon E5-2676 v3,31,244,2000 HDD,HDD,8,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,6.20,9.30,12.40,18.60,0.0,0.0,0.0,0.0,4.0,#NAME?,#NAME?,#NAME?,#NAME?,316.2,400.0,0.0,100.0,1816.2,4.4,N/A
