Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Info (Type and Size in GB),Storage Type,Platform Storage Drive Quantity,Platform GPU Quantity,Platform GPU Name,Instance Number of GPU,Instance GPU memory (in GB),PkgWatt @ Idle,PkgWatt @ 10%,PkgWatt @ 50%,PkgWatt @ 100%,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,GPUWatt @ Idle,GPUWatt @ 10%,GPUWatt @ 50%,GPUWatt @ 100%,Delta Full Machine,Instance @ Idle,Instance @ 10%,Instance @ 50%,Instance @ 100%,Platform Additional Memory Scope 3 Emissions,Platform Additional Storage Scope 3 Emissions,Platform Additional GPU Scope 3 Emissions,Platform Additional CPU Scope 3 Emissions,Total Platform Scope 3 Emissions  (kgCO?eq),Instance Hourly Manufacturing Emissions (gCO?eq),Hardware Information on AWS Documentation & Comments
t4g.micro,September 2020,2,64,Graviton2,1,256,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.20,0.30,0.40,0.60,0.0,0.0,0.0,0.0,0.9,#NAME?,#NAME?,#NAME?,#NAME?,332.9,0.0,0.0,0.0,1332.9,1.2,Baseline Performance / vCPU 10%
t4g.small,September 2020,2,64,Graviton2,2,256,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.40,0.60,0.80,1.20,0.0,0.0,0.0,0.0,0.9,#NAME?,#NAME?,#NAME?,#NAME?,332.9,0.0,0.0,0.0,1332.9,1.2,Baseline Performance / vCPU 20%
t4g.medium,September 2020,2,64,Graviton2,4,256,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,0.80,1.20,1.60,2.40,0.0,0.0,0.0,0.0,0.9,#NAME?,#NAME?,#NAME?,#NAME?,332.9,0.0,0.0,0.0,1332.9,1.2,Baseline Performance / vCPU 20%
t4g.large,September 2020,2,64,Graviton2,8,256,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,1.60,2.40,3.20,4.80,0.0,0.0,0.0,0.0,0.9,#NAME?,#NAME?,#NAME?,#NAME?,332.9,0.0,0.0,0.0,1332.9,1.2,Baseline Performance / vCPU 30%
t4g.xlarge,September 2020,4,64,Graviton2,16,256,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,3.20,4.80,6.40,9.60,0.0,0.0,0.0,0.0,1.9,#NAME?,#NAME?,#NAME?,#NAME?,332.9,0.0,0.0,0.0,1332.9,2.4,Baseline Performance / vCPU 40%
t4g.2xlarge,September 2020,8,64,Graviton2,32,256,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,6.40,9.60,12.80,19.20,0.0,0.0,0.0,0.0,3.8,#NAME?,#NAME?,#NAME?,#NAME?,332.9,0.0,0.0,0.0,1332.9,4.8,Baseline Performance / vCPU 40%
u-6tb1.metal,September 2018,448,448,Xeon Platinum 8176M,6144,24576,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,1228.80,1843.20,2457.60,3686.40,0.0,0.0,0.0,0.0,264.0,#NAME?,#NAME?,#NAME?,#NAME?,34062.3,0.0,0.0,700.0,35762.3,258.7,Intel Xeon Platinum 8176M (Skylake) processors
u-9tb1.metal,September 2018,448,448,Xeon Platinum 8176M,9216,24576,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,1843.20,2764.80,3686.40,5529.60,0.0,0.0,0.0,0.0,264.0,#NAME?,#NAME?,#NAME?,#NAME?,34062.3,0.0,0.0,700.0,35762.3,388.0,Intel Xeon Platinum 8176M (Skylake) processors
u-12tb1.metal,September 2018,448,448,Xeon Platinum 8176M,12288,24576,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,2457.60,3686.40,4915.20,7372.80,0.0,0.0,0.0,0.0,264.0,#NAME?,#NAME?,#NAME?,#NAME?,34062.3,0.0,0.0,700.0,35762.3,517.4,Intel Xeon Platinum 8176M (Skylake) processors
u-18tb1.metal,May 2019,448,448,Xeon Platinum 8176M,18432,24576,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,3686.40,5529.60,7372.80,11059.20,0.0,0.0,0.0,0.0,264.0,#NAME?,#NAME?,#NAME?,#NAME?,34062.3,0.0,0.0,700.0,35762.3,776.1,Intel Xeon Platinum 8176M (Skylake) processors
u-24tb1.metal,May 2019,448,448,Xeon Platinum 8176M,24576,24576,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,4915.20,7372.80,9830.40,14745.60,0.0,0.0,0.0,0.0,264.0,#NAME?,#NAME?,#NAME?,#NAME?,34062.3,0.0,0.0,700.0,35762.3,1034.8,Intel Xeon Platinum 8176M (Skylake) processors
x1.16xlarge,October 2016,64,128,Xeon E7-8880 v3,976,1952,1 x 1.920 SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,195.20,292.80,390.40,585.60,0.0,0.0,0.0,0.0,60.0,#NAME?,#NAME?,#NAME?,#NAME?,2685.0,200.0,0.0,300.0,4185.0,60.5,2.3 GHz Intel Xeon E7-8880 v3 Processor (Haswell)
x1.32xlarge,May 2016,128,128,Xeon E7-8880 v3,1952,1952,2 x 1.920 SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,390.40,585.60,780.80,1171.20,0.0,0.0,0.0,0.0,120.0,#NAME?,#NAME?,#NAME?,#NAME?,2685.0,200.0,0.0,300.0,4185.0,121.1,2.3 GHz Intel Xeon E7-8880 v3 Processor (Haswell)
x1e.xlarge,November 2017,4,128,Xeon E7-8880 v3,122,3904,1 x 120 SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,24.40,36.60,48.80,73.20,0.0,0.0,0.0,0.0,3.8,#NAME?,#NAME?,#NAME?,#NAME?,5392.3,200.0,0.0,300.0,6892.3,6.2,2.3 GHz Intel Xeon E7-8880 v3 Processor (Haswell)
x1e.2xlarge,November 2017,8,128,Xeon E7-8880 v3,244,3904,1 x 240 SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,48.80,73.20,97.60,146.40,0.0,0.0,0.0,0.0,7.5,#NAME?,#NAME?,#NAME?,#NAME?,5392.3,200.0,0.0,300.0,6892.3,12.5,2.3 GHz Intel Xeon E7-8880 v3 Processor (Haswell)
x1e.4xlarge,November 2017,16,128,Xeon E7-8880 v3,488,3904,1 x 480 SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,97.60,146.40,195.20,292.80,0.0,0.0,0.0,0.0,15.0,#NAME?,#NAME?,#NAME?,#NAME?,5392.3,200.0,0.0,300.0,6892.3,24.9,2.3 GHz Intel Xeon E7-8880 v3 Processor (Haswell)
x1e.8xlarge,November 2017,32,128,Xeon E7-8880 v3,976,3904,1 x 960 SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,195.20,292.80,390.40,585.60,0.0,0.0,0.0,0.0,30.0,#NAME?,#NAME?,#NAME?,#NAME?,5392.3,200.0,0.0,300.0,6892.3,49.9,2.3 GHz Intel Xeon E7-8880 v3 Processor (Haswell)
x1e.16xlarge,November 2017,64,128,Xeon E7-8880 v3,1952,3904,1 x 1.920 SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,390.40,585.60,780.80,1171.20,0.0,0.0,0.0,0.0,60.0,#NAME?,#NAME?,#NAME?,#NAME?,5392.3,200.0,0.0,300.0,6892.3,99.7,2.3 GHz Intel Xeon E7-8880 v3 Processor (Haswell)
x1e.32xlarge,September 2017,128,128,Xeon E7-8880 v3,3904,3904,2 x 1.920 SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,780.80,1171.20,1561.60,2342.40,0.0,0.0,0.0,0.0,120.0,#NAME?,#NAME?,#NAME?,#NAME?,5392.3,200.0,0.0,300.0,6892.3,199.4,2.3 GHz Intel Xeon E7-8880 v3 Processor (Haswell)
x2gd.medium,March 2021,1,64,Graviton2,16,1024,1x59 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,3.20,4.80,6.40,9.60,0.0,0.0,0.0,0.0,0.5,#NAME?,#NAME?,#NAME?,#NAME?,1398.0,200.0,0.0,0.0,2598.0,1.2,
x2gd.large,March 2021,2,64,Graviton2,32,1024,1x118 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,6.40,9.60,12.80,19.20,0.0,0.0,0.0,0.0,0.9,#NAME?,#NAME?,#NAME?,#NAME?,1398.0,200.0,0.0,0.0,2598.0,2.3,
x2gd.xlarge,March 2021,4,64,Graviton2,64,1024,1x237 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,12.80,19.20,25.60,38.40,0.0,0.0,0.0,0.0,1.9,#NAME?,#NAME?,#NAME?,#NAME?,1398.0,200.0,0.0,0.0,2598.0,4.7,
x2gd.2xlarge,March 2021,8,64,Graviton2,128,1024,1x475 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,25.60,38.40,51.20,76.80,0.0,0.0,0.0,0.0,3.8,#NAME?,#NAME?,#NAME?,#NAME?,1398.0,200.0,0.0,0.0,2598.0,9.4,
x2gd.4xlarge,March 2021,16,64,Graviton2,256,1024,1x950 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,51.20,76.80,102.40,153.60,0.0,0.0,0.0,0.0,7.5,#NAME?,#NAME?,#NAME?,#NAME?,1398.0,200.0,0.0,0.0,2598.0,18.8,
x2gd.8xlarge,March 2021,32,64,Graviton2,512,1024,1x1900 NVMe SSD,SSD,2,N/A,N/A,N/A,N/A,#NAME?,#NAME?,#NAME?,#NAME?,102.40,153.60,204.80,307.20,0.0,0.0,0.0,0.0,15.0,#NAME?,#NAME?,#NAME?,#NAME?,1398.0,200.0,0.0,0.0,2598.0,37.6,
